# PORTIFOLIO ALLOCATION PROBLEM - DATA
param n_assets := 250;
param asset_data: price	lqdt	divd	dy	dy3ac	dy6ac	dy12ac	dy3m	dy6m	dy12m	dyy	price_delta	profitability	profitability_ac	liq_patr	vpa	pvp	dyp	patr_delta	sector_none	sector_hosp	sector_hotel	sector_hbd	sector_corp	sector_log	sector_other	sector_resd	sector_shop	sector_title :=
154 155.99	252.0	1.28	0.825806451612903	2.40297706484909	4.70538882233271	8.9974414424145	0.800992354949697	0.784231470388784	0.749786786867875	3.97146458589619	-3.125	-2.325	-1.67419120270649	186038544.78	200.653764	0.7774087905971204	0.637914771436832	0.088135265223066	0	0	0	0	0	1	0	0	0	0 #FIIP11B
155 71.0	24930.0	0.6	0.819112627986348	2.41005075577403	4.68057373360209	8.83126866334986	0.803350251924677	0.780095622267015	0.735939055279155	3.94886641652892	-3.47871919884043	-2.68810119910396	-3.55874871949938	1914881099.42	83.302759	0.8523127067135916	0.720264259194584	-1.60601307434421	0	0	0	0	0	0	0	0	0	1 #HFOF11
156 71.81	1059.0	0.59	0.813793103448276	2.36691836836498	4.81913717738037	9.04636170149469	0.788972789454995	0.803189529563395	0.753863475124558	3.99044736454997	-1.45439717276062	-0.652439853201026	1.83470247568303	1120247855.81	91.794762	0.7822886451843516	0.642738198939935	-0.035606996377846	0	0	0	0	0	0	0	0	1	0 #ABCP11
157 60.0	1113.0	0.493494858	0.806364147058823	2.39326764488989	4.8181587660026	9.24047658965967	0.797755881629962	0.803026461000434	0.770039715804972	4.08705510234918	-1.49686141960406	-0.702567426364087	10.7409499694659	164007871.01	90.327825	0.6642471464357743	0.548661351028877	-0.152254620910275	0	0	0	0	1	0	0	0	0	0 #CEOC11
158 60.98	1273.0	0.5	0.803212851405622	2.50970151829697	5.05313479879784	9.84305413281126	0.836567172765656	0.842189133132973	0.820254511067605	4.21575412554378	6.39206973166981	7.24662450863103	9.71595164877679	48361846.89	72.541211	0.8406256134874835	0.689263376096658	-1.95146973428643	0	0	0	0	0	0	0	0	0	1 #IBFF11
159 76.33	9319.0	0.61	0.799161535438229	2.29687473743755	4.44008518346073	8.49998669206717	0.765624912479182	0.740014197243455	0.708332224338931	3.76880121968876	-2.59060745278203	-1.81214905564064	-7.5257832302918	777640109.45	108.754436	0.7018564281828468	0.560896660803795	-0.843752877408321	0	0	0	0	0	0	1	0	0	0 #XPIN11
160 46.59	2306.0	0.39	0.797382948272337	2.30666757384266	4.38792735823523	8.0477837265277	0.768889191280887	0.731321226372538	0.670648643877309	3.72717598953597	-2.37524950099801	-1.59680638722556	-0.48946477025632	234619574.18	87.675476	0.5313914691492522	0.444822221438524	0.0577050508193455	0	0	0	0	1	0	0	0	0	0 #RNGO11
161 78.39	948.0	0.650581374	0.793972875274591	2.55079008214497	4.54560788562446	9.90930594204887	0.850263360714991	0.757601314270744	0.82577549517074	2.91369760175281	3.31610137435379	4.13640319505735	3.37351645432369	135414523.06	120.298425	0.6516294789395622	0.666736015870532	0.0832265737207738	0	0	0	0	0	0	1	0	0	0 #MAXR11
162 84.24	304.0	0.6664	0.784553802684248	2.53619508108622	5.33018884666335	10.4851247326406	0.845398360362073	0.888364807777226	0.873760394386713	4.29238124039938	2.06681086277336	2.86757990867579	-2.04527129787755	313449092.21	113.068552	0.7450347467083509	0.589376964869949	-0.104886353385858	0	0	0	1	0	0	0	0	0	0 #HBRH11
163 33.53	193.0	0.26	0.781015319915891	2.26927032120286	4.00584792934536	4.00584792934536	0.756423440400954	0.667641321557559	0.33382066077878	4.00584792934536	-1.94403534609722	-1.17820324005892	-13.3877191335972	265344746.54	108.578749	0.3088081259805268	0.239457538785974	0.445256621160639	0	0	0	0	1	0	0	0	0	0 #RMAI11
164 98.79	691.0	0.76	0.779567135090779	2.43387032867584	4.90010609394105	9.44688800333116	0.811290109558613	0.816684348990175	0.787240666944264	3.27924218528365	3.71276595744681	4.52127659574468	7.7864622384711	238445073.76	103.412296	0.9553022592207024	0.742996483706348	0.0199000459620846	0	0	0	1	0	0	0	0	0	0 #VVPR11
165 97.1	741.0	0.74	0.778865382591306	2.27373151778506	4.61491227638006	8.70171409187663	0.757910505928353	0.769152046063344	0.725142840989719	3.57046783193563	3.37286475900338	4.17800021760419	8.23546759550249	109078796.98	109.253056	0.8887623244149802	0.576642908734745	-0.0097287583726624	0	0	0	0	1	0	0	0	0	0 #BMLC11
166 59.7	12.0	0.48	0.777957860615883	2.19631371314942	4.1139505996353	7.67413704501892	0.732104571049807	0.68565843327255	0.639511420418243	3.46779675348145	-1.70463597259838	-0.939939461526218	-5.56044720373007	138609258.54	92.121578	0.6480566366329504	0.521050562116945	0.052184379158704	0	0	0	1	0	0	0	0	0	0 #RBRS11
